

excuse   v.原谅
me   pron.我(宾格)
yes   ad.是的
is    v.be动词现在时第三人称单数
this   pron.这
your  pron.你的，你们的
handbag      n.(女用)手提包 
pardon      int.原谅，请再说一遍
it     pron.它
thank you     vt.感谢
very much       非常地
pen       n.钢笔
pencil    n.铅笔   
book      n.书
watch     n.手表
coat        n.上衣，外衣
dress       n.连衣裙
skirt         n.裙子
shirt         n.衬衣
car         n.小汽车
house     n.房子
umbrella         n.伞
please           int.请
here           ad.这里
my            pron.我的
ticket         n.票
number       n.号码
five           num. 五
sorry         a.对不起的
sir            n.先生
cloakroom           n.衣帽存放处
suit               v.适于
school              n.学校
teacher          n.老师
son             n.儿子
daughter           n.女儿
Mr.               先生
good             a.好
morning            n.早晨
Miss               小姐
new             a.新的
student              n.学生
French              a.& n.法国人
German            a.& n.德国人
nice                 a.美好的
meet              v.遇见
Japanese              a.& n.日本人
Korean                a.& n.韩国人
Chinese              a.& n.中国人
too                   ad.也
make                n.(产品的)牌号
Swedish                a.瑞典的
English              a.英国的
American              a.美国的
Italian                  a.意大利的
Volvo                   n.沃尔沃
Peugeot               n.标致
Mercedes                 n.梅赛德斯
Toyota                      n.丰田
Daewoo                 n.大宇
Mini                    n.迷你
Ford                   n.福特
Fiat                   n.菲亚特
I                      pron.我
am                     v.be动词现在时第一人称单数
are                    v.be动词现在时复数
name                   n.名字
what                   a.& pron.什么
nationality            n.国籍
job                    n.工作
keyboard                       n.电脑键盘
operator                     n.操作人员
engineer                     n.工程师
policeman                       n.警察
policewoman                  n.女警察
taxi driver                       出租汽车司机
air hostess                     空中小姐
postman                        n.邮递员
nurse                               n.护士
mechanic                          n.机械师
hairdresser                       n.理发师
housewife                        n.家庭妇女
milkman                           n.送牛奶的人
hello                               int.喂(表示问候)
hi                                    int.喂，嗨
how                                  ad.怎样
today                                ad.今天
well                                 a.身体好
fine                                    a.美好的
thanks                               int.谢谢
goodbye                          int.再见
see                                 v.见
fat                                       a.胖的
woman                                 n.女人
thin                                      a.瘦的
tall                                      a.高的
short                                    a.矮的
dirty                                    a.脏的
clean                                    a.干净的；v.清洗
hot                 a.热的
cold                a.冷的
old                 a.老的
young               a.年轻的
busy                a.忙的
lazy                a.懒的
whose                                 pron.谁的
blue                            a.蓝色的
perhaps                 ad.大概
white                   a.白色的
catch                     v.抓住
father                 n.父亲
mother             n.母亲
blouse               n.女衬衫
sister                 n.姐，妹
tie               n.领带;联系,关系;vt.扎,束紧
brother                n.兄，弟
his                     pron. 他的
her                    pron.她的
colour                 n.颜色
green                 a.绿色
come                 v.来
upstairs                ad.楼上
smart                   a.时髦的，巧妙的
hat                        n.帽子
same                    a.相同的
lovely                  a.可爱的，秀丽的
case                      n.箱子
carpet                    n.地毯
dog                        n.狗
customs                  n.海关
officer                  n.官员
girl                       n.女孩，姑娘
Danish                    a.& n.丹麦人
friend                        n.朋友
Norwegian                   a.& n.挪威人
passport                    n.护照
brown                         a.棕色的
tourist                           n.旅游者
Russian                        a.& n.俄罗斯人
Dutch                       a.& n.荷兰人
these                      pron.这些
red                       a.红色的
grey                     a.灰色的
yellow                   a.黄色的
black                    a.黑色的
orange                  a.橘黄色的；n.橙
employee                 n.雇员
hard-working               a.勤奋的
sales reps                   推销员
man                           n.男人
office                          n.办公室
assistant                      n.助手
matter            n.事情
children          n.孩子们
tired            a.累，疲乏
boy                n.男孩
thirsty                a.渴
mum                n.妈妈
sit down                 坐下
right                  a.好，可以；n.右边
ice cream         冰淇淋
big                 a.大的
small                 a.小的
open               a.开着的
shut                  a.关着的
light                a.轻的
heavy               a.重的
long                 a.长的
shoe                  n.鞋子
grandfather            n.祖父，外祖父
grandmother         n.祖母，外祖母
give                   v.给
one                  pron.一个
which                  pron.哪一个
empty                   a.空的；v.倒空，使…变空
full                      a.满的
large                 a.大的
little                   a.小的
sharp                   a.尖的，锋利的
small                    a.小的
big                      a.大的
blunt                   a.钝的
box                     n.盒子，箱子
glass                   n.杯子
cup                   n.茶杯
bottle                 n.瓶子
tin                    n.罐头
knife                  n.刀子
fork                n.叉子
on                prep.在…之上
shelf                 n.架子，搁板
desk                n.课桌
table              n.桌子
plate                  n.盘子
cupboard               n.食橱
cigarette             n.香烟
television                 n.电视机
floor                n.地板
dressing table                    梳妆台
magazine                 n.杂志
bed                     n.床
newspaper             n.报纸
stereo                     n.立体声音响
Mrs.                         n.夫人
kitchen                    n.厨房
refrigerator                 n.电冰箱
